Агрегат: 04030002
Точка: П4®
Направление измерений: Произвольное
Замер: ЕФС-У
Дата и время: 30.05.2018 13:49:21
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 32768
Единицы: м/с?
Представление величин: ПИК
Усреднения: Линейные
Количество усреднений: 1
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 12800.000000
Период (мс): 1000.000000

мсек	Канал А, м/с?
0.000000	10.417067
0.030519	23.382513
0.061037	32.245960
0.091556	31.810053
0.122074	19.045795
0.152593	-1.877754
0.183111	-21.370634
0.213630	-32.994827
0.244148	-34.470207
0.274667	-24.813183
0.305185	-6.438015
0.335704	11.825382
0.366222	23.963722
0.396741	28.479275
0.427259	26.132082
0.457778	16.989206
0.488296	1.251836
0.518815	-13.680782
0.549333	-21.270039
0.579852	-18.855783
0.610370	-8.941688
0.640889	5.677972
0.671407	21.057674
0.701926	32.044773
0.732444	32.368908
0.762963	22.018906
0.793481	5.141470
0.824000	-12.585425
0.854518	-25.930895
0.885037	-30.312321
0.915555	-24.321390
0.946074	-10.908859
0.976592	3.844926
1.007111	15.379703
1.037629	19.314045
1.068148	15.402057
1.098666	4.962636
1.129185	-7.153350
1.159703	-15.703839
1.190222	-17.570415
1.220740	-14.563774
1.251259	-7.768091
1.281777	2.101297
1.312296	11.624194
1.342814	17.168041
1.373333	18.151627
1.403851	14.664368
1.434370	7.958102
1.464888	0.201188
1.495407	-4.582615
1.525925	-4.448490
1.556444	-0.972409
1.586962	1.900109
1.617481	3.040174
1.648000	2.682506
1.678518	1.967171
1.709037	0.581210
1.739555	-2.056588
1.770074	-2.984288
1.800592	-0.871815
1.831111	1.967171
1.861629	2.771923
1.892148	2.101297
1.922666	1.005940
1.953185	-0.044708
1.983703	-2.090120
2.014222	-2.838986
2.044740	-1.140065
2.075259	0.558855
2.105777	1.877754
2.136296	3.397841
2.166814	3.040174
2.197333	0.447084
2.227851	-4.448490
2.258370	-8.718145
2.288888	-10.808265
2.319407	-9.835856
2.349925	-7.198059
2.380444	-1.508910
2.410962	5.230887
2.441481	9.344064
2.471999	8.148113
2.502518	3.129591
2.533036	-2.682506
2.563555	-7.622789
2.594073	-9.992336
2.624592	-8.382833
2.655110	-3.308424
2.685629	3.107236
2.716147	7.198059
2.746666	8.449895
2.777184	8.259884
2.807703	7.555726
2.838221	5.543846
2.868740	2.526027
2.899258	0.201188
2.929777	-0.525324
2.960295	-2.682506
2.990814	-7.041579
3.021332	-10.685317
3.051851	-12.473654
3.082369	-11.959507
3.112888	-9.992336
3.143406	-6.952162
3.173925	-2.805454
3.204443	1.084180
3.234962	3.464904
3.265481	5.320304
3.295999	4.113176
3.326518	0.089417
3.357036	-3.129591
3.387555	-4.906751
3.418073	-5.722680
3.448592	-4.381427
3.479110	-1.140065
3.509629	2.861340
3.540147	5.454430
3.570666	6.661557
3.601184	7.242767
3.631703	6.996871
3.662221	4.347896
3.692740	2.369547
3.723258	-0.089417
3.753777	-3.867280
3.784295	-7.823977
3.814814	-9.545252
3.845332	-7.466309
3.875851	-2.034234
3.906369	5.722680
3.936888	15.044390
3.967406	20.655298
3.997925	19.090504
4.028443	10.908859
4.058962	-0.692981
4.089480	-11.937153
4.119999	-18.777544
4.150517	-19.448170
4.181036	-11.747142
4.211554	1.944817
4.242073	16.899790
4.272591	26.377979
4.303110	27.473335
4.333628	20.297630
4.364147	7.287476
4.394665	-4.806157
4.425184	-12.138341
4.455702	-13.859616
4.486221	-10.148815
4.516739	-3.397841
