Агрегат: 50
Точка: Точка001®
Направление измерений: Поперечное
Замер: Замер002
Дата и время: 18.10.2018 09:34:03
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 256
Единицы: мм/сек
Представление величин: СКЗ
Усреднения: Линейные
Количество усреднений: 1
ФВЧ (Гц): 10.000000
ФНЧ (Гц): 100.000000
Период (мс): 1000.000000

мсек	Канал А, мм/сек
0.000000	-5.657498
3.921569	0.575224
7.843137	7.126012
11.764706	4.676234
15.686275	-3.847234
19.607843	-8.973496
23.529412	-1.339934
27.450980	9.135913
31.372549	5.400340
35.294118	-3.953820
39.215686	-8.540386
43.137255	-2.351652
47.058824	8.283228
50.980392	5.765776
54.901961	-2.348268
58.823529	-7.565889
62.745098	-5.001066
66.666667	7.119245
70.588235	7.669091
74.509804	-2.158782
78.431373	-7.816281
82.352941	-4.688076
86.274510	5.806380
90.196078	7.296887
94.117647	-0.380663
98.039216	-6.415441
101.960784	-6.415441
105.882353	3.985965
109.803922	8.034528
113.725490	1.427909
117.647059	-5.928192
121.568627	-8.032836
125.490196	3.331224
129.411765	8.273077
133.333333	1.426217
137.254902	-4.300646
141.176471	-8.350901
145.098039	0.913591
149.019608	9.372769
152.941176	2.832133
156.862745	-4.283728
160.784314	-8.202020
164.705882	-0.527853
168.627451	8.318756
172.549020	4.166991
176.470588	-2.595276
180.392157	-8.701111
184.313725	-2.750925
188.235294	8.582683
192.156863	5.715021
196.078431	-2.387180
200.000000	-8.648664
203.921569	-3.931826
207.843137	7.714771
211.764706	6.432359
215.686275	-1.123379
219.607843	-8.078515
223.529412	-5.806380
227.450980	6.765651
231.372549	8.063289
235.294118	-0.539696
239.215686	-7.743532
243.137255	-6.131213
247.058824	5.248075
250.980392	7.464379
254.901961	0.774861
258.823529	-6.523718
262.745098	-7.721538
266.666667	4.185602
270.588235	8.129271
274.509804	1.524344
278.431373	-5.295446
282.352941	-8.807696
286.274510	2.666333
290.196078	9.528419
294.117647	1.908391
298.039216	-4.669466
301.960784	-8.493015
305.882353	-0.175951
309.803922	9.003949
313.725490	4.307414
317.647059	-3.701736
321.568627	-9.151139
325.490196	-1.661383
329.411765	8.773860
333.333333	5.221005
337.254902	-2.268752
341.176471	-8.784011
345.098039	-3.855694
349.019608	8.080207
352.941176	6.329157
356.862745	-1.251958
360.784314	-8.202020
364.705882	-5.813148
368.627451	7.017735
372.549020	7.652173
376.470588	0.052447
380.392157	-7.638638
384.313725	-7.636946
388.235294	6.078766
392.156863	9.088541
396.078431	0.439877
400.000000	-7.293504
403.921569	-7.795979
407.843137	4.578107
411.764706	8.609752
415.686275	1.762893
419.607843	-5.723480
423.529412	-9.132529
427.450980	3.123129
431.372549	9.338933
435.294118	2.165550
439.215686	-4.688076
443.137255	-8.756942
447.058824	1.583558
450.980392	8.029452
454.901961	3.735573
458.823529	-2.739082
462.745098	-10.272826
466.666667	-0.527853
470.588235	9.152831
474.509804	3.661132
478.431373	-1.813648
482.352941	-8.560689
486.274510	-3.339684
490.196078	8.215554
494.117647	5.354660
498.039216	-0.922050
501.960784	-8.350901
505.882353	-4.892789
509.803922	7.450844
513.725490	6.767343
517.647059	-0.115045
521.568627	-8.826307
525.490196	-5.813148
529.411765	7.606493
533.333333	6.215805
537.254902	0.000000
541.176471	-5.995866
545.098039	-7.054955
549.019608	4.874179
552.941176	7.193686
556.862745	1.664766
560.784314	-5.742090
564.705882	-7.851810
568.627451	3.877687
572.549020	6.652298
576.470588	2.571590
580.392157	-3.999500
584.313725	-8.882137
588.235294	1.854252
592.156863	7.917791
596.078431	3.322765
600.000000	-3.304155
603.921569	-8.751866
607.843137	-0.108277
611.764706	7.614953
615.686275	4.471522
619.607843	-2.118178
623.529412	-9.078390
627.450980	-2.226456
631.372549	8.147881
635.294118	5.603360
639.215686	-2.014976
643.137255	-9.391380
647.058824	-2.849051
650.980392	8.273077
654.901961	4.921550
658.823529	-0.174259
662.745098	-7.714771
666.666667	-6.643839
670.588235	7.132779
674.509804	7.704620
678.431373	-0.206404
682.352941	-7.687701
686.274510	-6.408674
690.196078	5.459554
694.117647	7.046496
698.039216	1.664766
701.960784	-6.222572
705.882353	-8.249391
709.803922	4.415691
713.725490	7.630179
717.647059	2.382105
721.568627	-4.723605
725.490196	-8.998874
729.411765	1.854252
733.333333	7.883955
737.254902	4.226205
741.176471	-3.600226
745.098039	-10.326965
749.019608	0.697036
752.941176	8.530235
756.862745	3.952128
760.784314	-2.551288
764.705882	-9.604551
768.627451	-1.324707
772.549020	7.555738
776.470588	5.486623
780.392157	-0.981265
784.313725	-10.435243
788.235294	-2.696786
