Агрегат: Свободные данные
Дата и время: 06.06.2018 14:04:57
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 128K
Единицы: м/с?
Представление величин: ПИК
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 10240.000000
Период (мс): 5000.000000

мсек	Канал А, м/с?
0.000000	-0.005972
0.038147	-0.006583
0.076295	-0.007601
0.114442	-0.008891
0.152589	-0.006922
0.190736	-0.005022
0.228884	-0.005429
0.267031	-0.005429
0.305178	-0.005972
0.343325	-0.006583
0.381473	-0.004208
0.419620	-0.006651
0.457767	-0.003801
0.495914	-0.002240
0.534062	-0.005701
0.572209	-0.006583
0.610356	-0.002511
0.648503	-0.001561
0.686651	-0.004344
0.724798	-0.003665
0.762945	-0.005429
0.801093	-0.006990
0.839240	-0.003190
0.877387	-0.003801
0.915534	-0.005362
0.953682	-0.004751
0.991829	-0.009094
1.029976	-0.008008
1.068123	-0.003665
1.106271	-0.005972
1.144418	-0.006719
1.182565	-0.006583
1.220712	-0.006583
1.258860	-0.004140
1.297007	-0.005429
1.335154	-0.007601
1.373301	-0.002850
1.411449	-0.004819
1.449596	-0.004751
1.487743	-0.001086
1.525891	-0.004479
1.564038	-0.004072
1.602185	-0.004344
1.640332	-0.004751
1.678480	-0.004819
1.716627	-0.006583
1.754774	-0.004819
1.792921	-0.006651
1.831069	-0.007194
1.869216	-0.002443
1.907363	-0.004886
1.945510	-0.008008
1.983658	-0.007194
2.021805	-0.007601
2.059952	-0.004819
2.098100	-0.006583
2.136247	-0.005837
2.174394	-0.003258
2.212541	-0.005633
2.250689	-0.005090
2.288836	-0.004547
2.326983	-0.005429
2.365130	-0.004072
2.403278	-0.005429
2.441425	-0.008416
2.479572	-0.005972
2.517719	-0.004547
2.555867	-0.005701
2.594014	-0.007601
2.632161	-0.003733
2.670308	-0.002647
2.708456	-0.004140
2.746603	-0.005972
2.784750	-0.006583
2.822898	-0.005294
2.861045	-0.004208
2.899192	-0.002443
2.937339	-0.005701
2.975487	-0.006651
3.013634	-0.004751
3.051781	-0.003529
3.089928	-0.005362
3.128076	-0.005904
3.166223	-0.004208
3.204370	-0.002918
3.242517	-0.005972
3.280665	-0.004208
3.318812	-0.004819
3.356959	-0.007805
3.395106	-0.003393
3.433254	-0.005633
3.471401	-0.007194
3.509548	-0.005972
3.547696	-0.004751
3.585843	-0.005904
3.623990	-0.006583
3.662137	-0.006583
3.700285	-0.004004
3.738432	-0.003936
3.776579	-0.004344
3.814726	-0.002579
3.852874	-0.003190
3.891021	-0.006583
3.929168	-0.005090
3.967315	-0.005701
4.005463	-0.010248
4.043610	-0.006583
4.081757	-0.005701
4.119904	-0.003258
4.158052	-0.006583
4.196199	-0.007737
4.234346	-0.003733
4.272494	-0.006583
4.310641	-0.006787
4.348788	-0.004886
4.386935	-0.007058
4.425083	-0.006990
4.463230	-0.005837
4.501377	-0.004751
4.539524	-0.002240
4.577672	-0.004886
4.615819	-0.004072
4.653966	-0.002375
4.692113	-0.003801
4.730261	-0.007194
4.768408	-0.003801
4.806555	-0.002647
4.844702	-0.006583
4.882850	-0.005633
4.920997	-0.006583
4.959144	-0.004276
4.997292	-0.005633
5.035439	-0.008958
5.073586	-0.005429
5.111733	-0.002715
5.149881	-0.007601
5.188028	-0.008416
5.226175	-0.006583
5.264322	-0.005022
5.302470	-0.005429
5.340617	-0.005294
5.378764	-0.004072
5.416911	-0.005429
5.455059	-0.005362
5.493206	-0.004886
5.531353	-0.005158
5.569500	-0.006583
5.607648	-0.004072
5.645795	-0.004886
5.683942	-0.005294
5.722090	-0.003258
5.760237	-0.003529
5.798384	-0.002986
5.836531	-0.006719
5.874679	-0.007601
5.912826	-0.002647
5.950973	-0.004683
5.989120	-0.006583
6.027268	-0.005090
6.065415	-0.006787
6.103562	-0.004344
6.141709	-0.005429
6.179857	-0.006583
6.218004	-0.005565
6.256151	-0.008144
6.294299	-0.003122
6.332446	-0.003054
6.370593	-0.007533
6.408740	-0.003801
6.446888	-0.004072
6.485035	-0.003529
6.523182	-0.002443
6.561329	-0.008212
6.599477	-0.006583
6.637624	-0.001629
6.675771	-0.002511
6.713918	-0.003190
6.752066	-0.006651
6.790213	-0.005972
6.828360	-0.003801
6.866507	-0.004072
6.904655	-0.005362
6.942802	-0.006583
6.980949	-0.003733
7.019097	-0.004072
7.057244	-0.005429
7.095391	-0.004751
7.133538	-0.006787
7.171686	-0.006651
7.209833	-0.005294
7.247980	-0.006922
