Агрегат: Свободные данные
Дата и время: 06.06.2018 14:05:12
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 128K
Единицы: м/с?
Представление величин: ПИК
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 10240.000000
Период (мс): 5000.000000

мсек	Канал А, м/с?
0.000000	-0.004276
0.038147	-0.004344
0.076295	-0.002647
0.114442	-0.002375
0.152589	-0.002443
0.190736	-0.002240
0.228884	-0.003936
0.267031	-0.006583
0.305178	-0.008348
0.343325	-0.004886
0.381473	-0.003529
0.419620	-0.003529
0.457767	-0.004344
0.495914	-0.007601
0.534062	-0.004344
0.572209	-0.002850
0.610356	-0.002783
0.648503	0.000000
0.686651	-0.003258
0.724798	-0.002443
0.762945	-0.002647
0.801093	-0.005429
0.839240	-0.002240
0.877387	-0.002375
0.915534	-0.004276
0.953682	-0.006583
0.991829	-0.005429
1.029976	-0.003801
1.068123	-0.007465
1.106271	-0.003190
1.144418	-0.002850
1.182565	-0.004276
1.220712	-0.002240
1.258860	-0.004140
1.297007	-0.004344
1.335154	-0.003190
1.373301	-0.003258
1.411449	-0.004208
1.449596	-0.004344
1.487743	-0.002647
1.525891	-0.003529
1.564038	-0.004615
1.602185	-0.002850
1.640332	-0.003733
1.678480	-0.005158
1.716627	-0.002240
1.754774	-0.002443
1.792921	-0.003801
1.831069	-0.003122
1.869216	-0.004615
1.907363	-0.005429
1.945510	-0.004276
1.983658	-0.002986
2.021805	-0.002783
2.059952	-0.003529
2.098100	-0.000543
2.136247	-0.000950
2.174394	-0.002715
2.212541	-0.004479
2.250689	-0.004276
2.288836	-0.002240
2.326983	-0.000543
2.365130	-0.000068
2.403278	-0.000475
2.441425	-0.003122
2.479572	-0.003393
2.517719	-0.002715
2.555867	-0.003529
2.594014	-0.003801
2.632161	-0.003529
2.670308	-0.000271
2.708456	-0.000950
2.746603	-0.003461
2.784750	-0.004344
2.822898	-0.006990
2.861045	-0.005362
2.899192	-0.002240
2.937339	-0.002307
2.975487	-0.002307
3.013634	-0.002240
3.051781	-0.003801
3.089928	-0.002240
3.128076	-0.001561
3.166223	-0.003258
3.204370	-0.001561
3.242517	0.000271
3.280665	-0.001086
3.318812	0.000204
3.356959	-0.001086
3.395106	-0.003461
3.433254	-0.001629
3.471401	-0.000814
3.509548	-0.001086
3.547696	-0.000475
3.585843	-0.002240
3.623990	-0.003529
3.662137	-0.000543
3.700285	-0.001561
3.738432	0.000814
3.776579	0.002647
3.814726	0.001493
3.852874	0.003868
3.891021	0.004954
3.929168	0.008280
3.967315	0.010791
4.005463	0.012759
4.043610	0.018528
4.081757	0.023075
4.119904	0.021921
4.158052	0.020767
4.196199	0.019478
4.234346	0.024500
4.272494	0.029047
4.310641	0.029862
4.348788	0.032916
4.386935	0.034952
4.425083	0.039906
4.463230	0.046761
4.501377	0.049611
4.539524	0.053887
4.577672	0.064881
4.615819	0.075876
4.653966	0.089721
4.692113	0.101054
4.730261	0.113474
4.768408	0.121143
4.806555	0.105602
4.844702	0.080083
4.882850	0.061081
4.920997	0.047439
4.959144	0.023821
4.997292	-0.003801
5.035439	-0.022193
5.073586	-0.034816
5.111733	-0.057755
5.149881	-0.075129
5.188028	-0.080423
5.226175	-0.089992
5.264322	-0.108384
5.302470	-0.125012
5.340617	-0.122636
5.378764	-0.119514
5.416911	-0.123247
5.455059	-0.121890
5.493206	-0.116189
5.531353	-0.108995
5.569500	-0.100919
5.607648	-0.095557
5.645795	-0.087210
5.683942	-0.082934
5.722090	-0.074518
5.760237	-0.062099
5.798384	-0.055923
5.836531	-0.046150
5.874679	-0.033459
5.912826	-0.019749
5.950973	-0.014659
5.989120	-0.009094
6.027268	0.002104
6.065415	0.012759
6.103562	0.019478
6.141709	0.012284
6.179857	0.014659
6.218004	0.026061
6.256151	0.024975
6.294299	0.026604
6.332446	0.031015
6.370593	0.029726
6.408740	0.030744
6.446888	0.022328
6.485035	0.017374
6.523182	0.015881
6.561329	0.004344
6.599477	-0.012488
6.637624	-0.024772
6.675771	-0.030065
6.713918	-0.038141
6.752066	-0.046353
6.790213	-0.051511
6.828360	-0.055380
6.866507	-0.065288
6.904655	-0.072686
6.942802	-0.073229
6.980949	-0.074926
7.019097	-0.077505
7.057244	-0.075061
7.095391	-0.068817
7.133538	-0.064270
7.171686	-0.060741
7.209833	-0.054362
7.247980	-0.043435
7.286127	-0.036988
7.324275	-0.030676
7.362422	-0.023957
7.400569	-0.014116
7.438716	-0.008280
7.476864	-0.006787
7.515011	-0.002240
7.553158	0.002986
7.591305	0.003801
7.629453	0.003054
7.667600	0.004886
7.705747	0.002104
7.743895	0.004615
7.782042	0.010180
7.820189	0.014456
7.858336	0.016288
7.896484	0.018664
7.934631	0.022260
7.972778	0.019478
8.010925	0.018460
8.049073	0.023143
8.087220	0.024636
8.125367	0.020700
8.163514	0.018256
8.201662	0.014116
8.239809	0.018053
8.277956	0.016356
